DC,KID,LPH,Mass,Prot,Prot_err,Teff,logg,w
0,11870069,0.11800000000000001,1.0331,1.011,0.235,5749,4.47,0.0181
0,11870097,0.309,1.1119,15.252,0.16,6016,4.33,0.226
0,11870183,0.32299999999999995,0.8635,32.121,0.6709999999999999,5113,4.67,0.2251
0,11870234,0.092,1.0283,20.607,4.604,5732,4.67,0.1186
0,11870439,0.055999999999999994,1.1172,18.924,0.457,6033,4.14,0.0714
0,11870970,0.26899999999999996,1.0523,32.53,0.314,5816,4.23,0.1035
0,11870986,0.087,1.0443,27.636999999999997,4.737,5788,4.5,0.0616
0,11871004,0.294,1.2748,6.162000000000001,0.42700000000000005,6496,3.98,0.2164
0,11871007,0.15,0.8842,27.881999999999998,3.964,5193,4.44,0.0831
0,11871646,0.518,1.226,51.236999999999995,1.014,6362,3.94,0.2278
0,11871664,0.301,0.8366,34.604,6.751,5009,4.62,0.1949
0,11871701,0.182,0.9669,31.315,4.196000000000001,5508,4.57,0.0779
0,11871782,0.249,0.9554,46.173,1.694,5465,4.71,0.0545
0,11872055,0.414,1.0174,0.418,0.004,5693,4.59,0.2392
0,11872342,0.455,1.1058,59.761,3.7910000000000004,5996,4.2,0.1761
0,11872493,0.273,0.8852,33.092,3.575,5197,4.53,0.1684
0,11872545,0.457,1.2748,56.714,13.700999999999999,6496,4.22,0.1811
0,11872552,0.16899999999999998,1.0417,34.4,9.482000000000001,5779,4.18,0.03
0,11872896,0.23399999999999999,1.0601,15.808,0.451,5843,4.38,0.1762
0,11872973,0.21,1.1284,17.521,0.128,6069,4.58,0.1148
0,11873022,0.163,1.0343,32.459,3.728,5753,4.63,0.0394
0,11873286,0.218,1.0807,18.726,0.605,5913,4.55,0.1497
0,11873436,0.324,0.7402,45.578,0.301,4644,4.49,0.1436
0,11873904,0.179,0.8189,39.938,9.166,4941,4.78,0.0745
0,11874078,0.455,1.2189,41.32899999999999,0.156,6342,4.33,0.1992
0,11874099,0.488,1.0483,44.309,3.9789999999999996,5802,4.53,0.2242
0,11874337,0.36700000000000005,0.8772,56.788999999999994,0.65,5166,4.03,0.1208
0,11874374,0.226,1.0511,20.906999999999996,0.6920000000000001,5812,4.16,0.157
0,11874517,0.21899999999999997,1.0391,57.551,15.195,5770,4.48,0.0029
0,11874623,0.18899999999999997,1.2617,1.931,0.45799999999999996,6461,4.28,0.1439
0,11875079,0.046,1.0116,24.51,4.334,5672,4.51,0.1192
0,11875181,0.318,0.8883,38.855,7.438,5209,4.37,0.1469
0,11875376,0.127,1.1985,14.477,1.411,6283,4.36,0.0552
0,11875432,0.18100000000000002,0.8808,28.372,4.871,5180,4.57,0.096
0,11875464,0.177,0.9798,27.473000000000003,2.498,5556,4.46,0.1048
0,11875733,0.298,0.9565,27.371,3.3,5469,4.24,0.2079
0,11875817,0.342,0.8663,25.221999999999998,1.41,5124,4.7,0.2093
0,11876010,0.11800000000000001,1.143,2.6460000000000004,0.32899999999999996,6115,4.3,0.0505
0,11876098,0.122,1.2224,20.689,1.1059999999999999,6352,4.12,0.0198
0,11876278,0.18,1.0897,41.284,1.462,5943,4.2,0.0083
0,11903341,0.166,0.6739,37.114000000000004,1.6130000000000002,4407,4.62,0.0887
0,11903346,0.237,1.0813,17.869,2.57,5915,4.28,0.1734
0,11903584,0.172,1.0523,48.233999999999995,6.252000000000001,5816,4.44,0.0066
0,11903836,0.054000000000000006,1.1073,25.144000000000002,2.119,6001,4.61,0.0405
0,11904384,0.212,1.103,17.563,1.942,5987,4.61,0.137
0,11904455,0.375,0.8014,38.095,0.5,4874,4.57,0.2192
0,11904544,0.245,1.1471,18.421,5.585,6128,4.58,0.1231
0,11904669,0.34,0.8806,48.336000000000006,10.602,5179,4.35,0.1215
0,11904704,0.285,0.8488,38.274,2.431,5056,4.49,0.1398
0,11904770,0.043,0.9629,1.849,0.24100000000000002,5493,4.86,0.0105
0,11905230,0.195,0.887,44.78,13.661,5204,4.32,0.0274
0,11905424,0.23399999999999999,0.9972,37.731,4.481,5620,4.24,0.0687
0,11905431,0.192,1.0657,53.236999999999995,0.597,5862,4.38,0.0033
0,11905622,0.273,0.9591,56.876999999999995,9.808,5479,4.1,0.0477
0,11905940,0.19699999999999998,1.1455,10.84,1.032,6123,4.68,0.1691
0,11907403,0.135,1.1045,18.053,1.893,5992,4.81,0.0865
0,11907522,0.24,1.0085,45.618,7.105,5661,4.73,0.0436
0,11908369,0.19899999999999998,1.0494,52.36600000000001,0.833,5806,4.49,0.0044
0,11908440,0.11,1.1082,48.908,8.868,6004,4.49,0.0029
0,11908453,0.27399999999999997,0.9934,23.36,1.166,5606,4.55,0.2127
0,11908574,0.153,1.0698,61.434,8.116,5876,4.4,0.0014
0,11908629,0.152,1.0105,55.446999999999996,5.558,5668,4.79,0.0054
0,11908711,0.313,0.7783,34.318000000000005,9.171,4786,4.42,0.2351
0,11908727,0.33399999999999996,0.7015,44.695,1.057,4504,4.61,0.1649
0,11908902,0.162,0.9319,62.373999999999995,9.56,5376,4.71,0.0045
0,11908919,0.34299999999999997,1.0408,63.457,10.397,5776,4.2,0.09
0,11909073,0.127,1.0093,66.992,7.553,5664,4.53,0.0018
0,11909385,0.121,1.0252,50.269,0.866,5721,4.52,0.0078
0,11909489,0.114,0.9637,20.199,2.285,5496,4.6,0.0687
0,11909578,0.353,1.0116,62.048,2.955,5672,4.6,0.1006
0,11909635,0.17600000000000002,0.9109,28.801,2.414,5296,4.63,0.1192
0,11909684,0.20800000000000002,1.0497,19.81,2.213,5807,4.71,0.159
0,11909913,0.32299999999999995,0.7975,36.361999999999995,3.6180000000000003,4859,4.64,0.2073
0,11910311,0.289,0.9931,28.955,0.28300000000000003,5605,4.89,0.1646
0,11910670,0.5429999999999999,0.912,64.376,6.999,5300,4.24,0.2311
0,11910978,0.179,1.0997,49.276,3.8489999999999998,5976,4.38,0.0031
0,11911006,0.135,0.9156,31.785,3.9610000000000003,5314,4.44,0.1081
