,KID,Teff,logg,Mass,Prot,Prot_err,Rper,LPH,w,DC,Flag
11355,5271316,5570,4.62,0.9836,10.435,0.011000000000000001,24229.17,1.41,0.7215,0,---
11356,5271362,5050,4.62,0.8472,14.482999999999999,0.136,15981.11,1.0170000000000001,0.5759,0,---
11357,5271534,4495,4.6,0.6990000000000001,37.608000000000004,4.8260000000000005,4115.58,0.489,0.3135,0,---
11358,5271731,5275,4.5,0.9055,34.477,0.22,1579.76,0.633,0.3558,0,---
11359,5271737,5853,4.6,1.063,8.897,0.14400000000000002,5760.07,1.037,0.6241,0,---
11360,5271780,6227,4.79,1.1796,11.102,0.073,2684.62,0.35,0.2506,0,---
11361,5271947,5545,4.25,0.9768,40.124,0.684,756.56,0.617,0.3177,0,---
11362,5272326,4898,4.46,0.8077,34.33,0.392,5360.48,0.665,0.3947,0,---
11363,5272434,4594,4.48,0.7265,16.122,0.5489999999999999,3236.65,0.774,0.4433,0,---
11364,5272453,4604,4.38,0.7293,37.961999999999996,1.651,2831.1,0.532,0.3225,0,---
11365,5272458,6357,4.49,1.2242,3.3960000000000004,0.01,3580.57,1.4080000000000001,0.733,0,---
11366,5272493,5475,4.54,0.958,17.92,0.011000000000000001,23145.97,1.489,0.6812,0,---
11367,5272556,5362,4.66,0.9282,0.848,0.004,9201.35,1.579,0.7637,0,---
11368,5272778,5551,4.42,0.9784,20.893,2.912,1818.51,0.542,0.4021,0,---
11369,5272914,5126,4.91,0.8669,24.29,0.9,5421.52,0.7340000000000001,0.5052,0,---
11370,5273059,5997,4.43,1.1061,3.075,0.425,9062.59,0.948,0.5535,0,---
11371,5273087,5232,4.05,0.8943,21.526999999999997,0.23199999999999998,9184.0,0.794,0.5332,0,---
11372,5273097,4696,4.88,0.7542,30.776,0.332,4151.64,0.431,0.2966,0,---
11373,5273102,5282,4.49,0.9073,21.025,0.541,8038.22,0.95,0.5757,0,---
11374,5273131,4783,4.56,0.7775,22.561,0.125,7917.23,1.006,0.615,0,---
11375,5273178,6468,4.26,1.2643,0.8809999999999999,0.018000000000000002,1318.19,0.7609999999999999,0.5099,0,---
11376,5273184,5257,4.43,0.9008,24.017,0.39799999999999996,4479.02,0.542,0.3842,0,---
11377,5273296,5823,4.33,1.0543,11.677999999999999,0.418,833.45,0.428,0.294,0,---
11378,5273473,5758,4.38,1.0357,0.474,0.003,878.04,1.067,0.5758,0,---
11379,5273677,4653,4.42,0.7426,13.724,0.066,7428.77,1.068,0.5841,0,---
11380,5273739,5362,4.35,0.9282,43.983000000000004,7.721,5052.92,0.627,0.3165,0,---
