,tigist_stars
0,300243913
1,167342936
2,177237670
3,177116487
4,388130306
5,300011200
6,176982916
7,284194584
8,167365279
9,176984889
10,231090784
11,300287949
12,231098788
13,306577886
14,300036391
15,231089744
16,300446756
17,40601527
18,150389760
19,55758201
20,375063025
21,167600516
22,150185574
